id,department,total_logins
15626,departamento de ciencias sociales,6
15827,departamento de psicopedagogía,59
15871,departamento de ciencias jurídicas,20
15890,departamento de informática,83
16117,departamento de ingenieria ambiental,22
16136,departamento de idiomas extranjeros,3
16223,departamento de ciencias agricolas,36
16251,departamento de ciencias agricolas,1
16357,departamento de matemáticas y estadística,4
16361,departamento de biología,2
16364,departamento de psicopedagogía,1
16404,departamento de ciencias agricolas,1
16465,departamento de física y electrónica,7
16547,departamento de idiomas extranjeros,2
16555,departamento de bacteriología,1
16559,departamento de enfermería,1
16563,departamento de enfermería,1
16570,departamento de enfermería,1
16574,departamento de enfermería,1
16578,departamento de enfermería,1
16579,departamento de enfermería,1
16586,departamento de salud pública,9
16587,departamento de salud pública,2
17858,departamento de matemáticas y estadística,23
17911,departamento de bacteriología,54
17913,departamento de bacteriología,30
17915,departamento de bacteriología,14
17924,departamento de español y literatura,47
17927,departamento de ingeniería de alimentos,25
17955,departamento de ingeniería ambiental,55
19332,departamento de geografía y medio ambiente,47
19340,departamento de ingeniería,19
