COD_DANE_DEPARTAMENTO;Departamento;Cod_sec retaria;SECRETARIA;COD_DANE_MUNICIPIO;MUNICIPIO;EST_ID;Codigo Dane EE;Nombre EE;SEDE_ID;Codigo Dane Sede;Nombre Sede;Dirección Sede;Zona
23;Córdoba;3781;CORDOBA;23815;Tuchín;13902;223670000515;INSTITUCION EDUCATIVA CRUZ CHIQUITA;76870;223670000515;CENTRO EDUCATIVO CRUZ CQUITA;VDA. CRUZ CHIQUITA;RURAL
23;Córdoba;3781;CORDOBA;23686;San Pelayo;14231;123686000014;INST EDU SANTA TERESITA;74403;123686000014;SANTA TERESITA;CLL 7 NO. 7-75;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;20817;223807002511;INSTITUCION EDUCATIVA BATATA;74922;223807002511;INSTITUCION EDUCATIVA BATATA;CORRG BATATA;RURAL
23;Córdoba;3781;CORDOBA;23807;Tierralta;14554;123807000033;INS EDU EL PARAISO;74719;123807000033;IE EL PARAÍSO;B. EL PARAISO;URBANA
23;Córdoba;3781;CORDOBA;23068;Ayapel;26783;123068000313;IE MARCO FIDEL SUAREZ;75322;123068000313;I.E. MARCO FIDEL SUAREZ - SEDE PRINCIPAL;IND K/1 VIA LA APARTADA;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;20814;223807001981;IE SAN CLEMENTE;74902;223807001981;IE SAN CLEMENTE;VDA. SAN CLEMENTE;RURAL
23;Córdoba;3781;CORDOBA;23555;Planeta Rica;14766;123555000264;INST.EDUC.ALIANZA P. EL PROGRESO;73901;123555000264;INST.EDUC.ALIANZA P. EL PROGRESO;CRA. 8 NO.15-37;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;14557;123807000980;IE MADRE LAURA;74722;123807000980;IE MADRE LAURA;B. CALIFORNIA;URBANA
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14596;123466000021;I.E. SAN BERNARDO;76617;123466000064;ESCUELA URBANA PARA NIÑAS;BARRIO SAN LUIS;URBANA
23;Córdoba;3781;CORDOBA;23678;San Carlos;14229;223678001022;INST.EDUC. SAN JOSE DE CARRIZAL;74364;223678001022;INST.EDUC. SAN JOSE DE CARRIZAL;CGTO. CARRIZAL;RURAL
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;19837;123189000469;I.E. ALIANZA PARA EL PROGRESO;63434;123189000469;I.E. ALIANZA PARA EL PROGRESO - SEDE PRINCIPAL;IND CLL 8 #9 B;URBANA
23;Córdoba;3781;CORDOBA;23466;Montelíbano;123816;123466000781;I.E. SAN ANTONIO MARÍA CLARET;76618;123466000781;I.E. SAN ANTONIO MARÍA CLARET;KR 7 CL 23 EQ;URBANA
23;Córdoba;3781;CORDOBA;23570;Pueblo Nuevo;14795;123570000521;INST. EDUC. EL ROSARIO;75804;123570000521;INST. EDUC. TEC. P.S. EL ROSARIO;BARRIO JUAN XXIII;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;20827;223807004386;IE EL ROSARIO;75084;223807004386;IE EL ROSARIO;REAS. EL ROSARIO;RURAL
23;Córdoba;3781;CORDOBA;23586;Purísima;13885;123586000556;PEDRO CASTELLANOS;76660;123586000556;PEDRO CASTELLANOS;CR7  4-56;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;14558;123807003717;IE NVO ORIENTE;74724;123807003717;IE NVO ORIENTE;B. NUEVO ORIENTE;URBANA
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;26652;123189000019;IE MADRE BERNARDA;63425;123189000094;URB MIX NTRA SRA  DE LOURDES;CLL 7 CR 17 NO.16-18 CENTRO;URBANA
23;Córdoba;3781;CORDOBA;23162;Cerete;21025;223162001042;IE JOSE ANTONIO GALAN RABOLARGO;63183;223162001042;IE JOSÉ ANTONIO GALÁN  RABOLARGO;CORREGIMIENTO DE RABOLARGO;RURAL
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;19850;223189001583;IE EL SIGLO;61593;223189001583;IE EL SIGLO;CORREG EL SIGLO;RURAL
23;Córdoba;3781;CORDOBA;23815;Tuchín;13908;223670001066;CENTRO EDUCATIVO LOS VIDALES;73948;223670001066;CENTRO EDUCATIVO LOS VIDALES;CORREGIMIENTO DE VIDALES;RURAL
23;Córdoba;3781;CORDOBA;23675;San Bernardo Del Viento;14202;223675000025;INSTITUCION EDUCATIVA PASO NUEVO;63382;223675000025;IE PASO NUEVO;CORREGIMIENTO PASO NUEVO;RURAL
23;Córdoba;3781;CORDOBA;23182;Chinu;25753;123182000285;IE EDUC JOSE YANCES MUTIS;76008;123182000285;IE JOSE YANCES MUTIS;CARRERA 9 Nº 29-25 - CHAMBACÚ;URBANA
23;Córdoba;3781;CORDOBA;23580;Puerto Libertador;14859;223580000311;CENT EDUC LUCILA GODOY;76306;223580000311;CENT EDUC LUCILA GODOY;CORREG RIO VERDE;RURAL
23;Córdoba;3781;CORDOBA;23068;Ayapel;26781;123068000011;IE LA INMACULADA;75315;123068000011;I.E. LA INMACULADA - SED EPRICNIPAL;IND K/3VIA A LA APARTADA;URBANA
23;Córdoba;3781;CORDOBA;23162;Cerete;21013;123162000131;I. E. EL CAÑITO DE LOS SABALOS;71019;123162000131;I. E. EL CAÑITO DE LOS SÁBALOS;IND BARRIO EL CAÑITO;URBANA
23;Córdoba;3781;CORDOBA;23672;San Antero;13914;123672000011;INST. EDUC. JULIO C. MIRANDA;73963;123672000097;ESC. SAGRADO CORAZÓN;BARRIO POLO NORTE CLL 116 # 13-07;URBANA
23;Córdoba;3781;CORDOBA;23855;Valencia;20902;223855000643;IE SAN RAFAEL DEL PIRU;75275;223855000643;SAN RAFAEL DEL PIRÚ;CORREG. SAN RAFAEL DEL PIRÚ;RURAL
23;Córdoba;3781;CORDOBA;23068;Ayapel;26781;123068000011;IE LA INMACULADA;75316;123068000224;MARIA MONTESSORI;CL 9 7 05;URBANA
23;Córdoba;3781;CORDOBA;23672;San Antero;13916;223672000148;INST. EDUC. TOMAS SANTO;73973;223672000148;COL. TOMAS SANTOS;CORREG. TOMAS SANTOS;RURAL
23;Córdoba;3781;CORDOBA;23162;Cerete;21029;223162001646;IE JULIAN PINTO BUENDIA;63201;223162001646;IE JULIÁN PINTO BUENDÍA;CORREGIMIEMNTO DE MATEOGOMEZ;RURAL
23;Córdoba;3781;CORDOBA;23090;Canalete;20938;123090000301;IE SAN JOSE DE CANALETE;75754;123090001153;COL AGUSTIN NIETO CABALLERO;MUNICIPIO DE CANALETE;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;20825;223807004343;INSTITUCION EDUCATIVA CAMPOBELLO;75057;223807004343;IE CAMPOBELLO;REAS. CAMPO BELLO;RURAL
23;Córdoba;3781;CORDOBA;23807;Tierralta;14568;223807000105;KANYIDO;74744;223807000105;KANYIDO;COMUN KANYIDO;RURAL
23;Córdoba;3781;CORDOBA;23464;Momil;20805;123464000016;INST EDUCATIVA FCO JOSE DE CALDAS;61635;123464000253;INTG ESCOLAR SANTANDER;BARRIO SANTANDER;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;20826;223807004360;IE LAS DELICIAS;75080;223807004360;IE LAS DELICIAS;REAS. LAS DELICIAS;RURAL
23;Córdoba;3781;CORDOBA;23586;Purísima;13886;223586000127;IE ASERRADERO;76661;223586000127;ASERRADERO;ASERRADERO;RURAL
23;Córdoba;3781;CORDOBA;23570;Pueblo Nuevo;14788;123570000416;INST. EDUC. JOSE CELESTINO MUTIS;75802;123570000084;JOSE FAUSTINO SARMIENTO;CALLE 15 B. EL CEMENTERIO;URBANA
23;Córdoba;3781;CORDOBA;23670;San Andrés de Sotavento;13890;123670000383;IE ALIANZA;76685;123670000367;CENT DOC URB MIX BUENOS AIRES;BARRIO BUENOS AIRES;URBANA
23;Córdoba;3781;CORDOBA;23855;Valencia;20896;223855000040;INSTITUCIÓN EDUCATIVA VILLANUEVA;75247;223855000040;VILLANUEVA;CORREG. VILLANUEVA;RURAL
23;Córdoba;3781;CORDOBA;23300;Cotorra;20699;223417003095;CENT EDUC LAS AREPAS;72372;223417003095;CENT EDUC RUR LAS AREPAS;CORREG LAS AREPAS;RURAL
23;Córdoba;3781;CORDOBA;23670;San Andrés de Sotavento;13905;223670000574;CENT EDUC PATIO BONITO NORTE;76888;223670000574;CENT EDUC PATIO BONITO NORTE;VDA. PATIO BONITO NORTE;RURAL
23;Córdoba;3781;CORDOBA;23580;Puerto Libertador;14854;123580000783;IE GERMAN GOMEZ PELAEZ;76094;123580001542;ESC URB 7 DE SEPTIEMBRE;BARRIO 7 DE SEPTIEMBRE;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;14553;123807000017;INSTITUCION EDUCATIVA BENICIO AGUDELO;74717;123807000530;ESC JOSE MARIA CORDOBA;CALLE 9 CENTRO;URBANA
23;Córdoba;3781;CORDOBA;23815;Tuchín;13910;223670001333;INSTITUCION EDUCATIVA TECNICA ALVARO ULCUE CHOCUE;73953;223670000523;ESCUELA RURAL MIXTA DE TUCHIN;BARRIO SAN PEDRO;URBANA
23;Córdoba;3781;CORDOBA;23182;Chinu;26646;223182000531;IE CACAOTAL;76023;223182000531;IE CACAOTAL;CORREGIMIENTO DE CACAOTAL;RURAL
23;Córdoba;3781;CORDOBA;23807;Tierralta;14398;223807000992;IE PALMIRA;75231;223807000992;IE PALMIRA;CORRG. PALMIRA;RURAL
23;Córdoba;3781;CORDOBA;23580;Puerto Libertador;14861;223580000711;CENT EDUC PABLO VI;76487;223580000711;CENT EDUC PABLO VI;CORREG SAN JUAN;RURAL
23;Córdoba;3781;CORDOBA;23162;Cerete;21027;223162001531;I.E. GERMAN VARGAS CANTILLO;63189;223162001531;I.E. GERMAN VARGAS CANTILLO;CORREGIMIENTO MANGUELITO;RURAL
23;Córdoba;3781;CORDOBA;23068;Ayapel;26782;123068000232;IE PABLO VI;75320;123068002618;MARIA AUXILIADORA;IND BARRIO VILLA ESPERANZA;URBANA
23;Córdoba;3781;CORDOBA;23815;Tuchín;13900;223670000469;INSTITUCION EDUCATIVA SAN JUAN DE LA CRUZ;76864;223670000469;CENTRO EDUCATIVO SAN JUAN DE LA CRUZ;CORREGIMIENTO SAN JUAN DE LA CRUZ;RURAL
23;Córdoba;3781;CORDOBA;23079;Buenavista;20935;223079000905;IE NTRA SRA DE FATIMA;75739;223079000905;IE NTRA SRA DE FATIMA;CRRG.VLLA FÀTIMA;RURAL
23;Córdoba;3781;CORDOBA;23678;San Carlos;14226;223678000450;INST. EDUC. SAN MIGUEL ABAJO;74354;223678000450;INST. EDUC. SAN MIGUEL ABAJO;CGTO. SAN MIGUEL ABAJO;RURAL
23;Córdoba;3781;CORDOBA;23555;Planeta Rica;14767;123555000477;INST. EDUC.SIMON BOLIVAR;73909;123555000248;MARIA INMACULADA;CLL.20 NO.6-88;URBANA
23;Córdoba;3781;CORDOBA;23675;San Bernardo Del Viento;14213;323675000208;INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS;61686;123675000403;SAGRADO CORAZON;BARRIO SAN FRANCISCO;URBANA
23;Córdoba;3781;CORDOBA;23686;San Pelayo;14546;223686000728;INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS;74565;223686000728;SAGRADO CORAZON DE JESUS;BARRIO LAUREANO GOMEZ;RURAL
23;Córdoba;3781;CORDOBA;23182;Chinu;16181;123182000021;I.E. NUESTRA SEÑORA DEL CARMEN;75984;123182000030;CENT EDUC FEM MARIA AUXILIADORA;CARRERA 7 Nº 18-34;URBANA
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14597;123466000056;INST. EDC. ALIANZA PARA EL PROGRESO;76621;123466000056;INST. EDC. ALIANZA PARA EL PROGRESO;VIA AEROPUERTO;URBANA
23;Córdoba;3781;CORDOBA;23686;San Pelayo;14232;123686000022;INST EDU JOSE ANTONIO GALAN;74378;123686000871;INSTITUTO SAN MARTIN;BARRIO SANTO DOMINGO;URBANA
23;Córdoba;3781;CORDOBA;23419;Los Córdobas;20802;223419001154;I.E.ANTONIO NARIÑO;61626;223419001154;IE ANTONIO NARIÑO;CORREG.MORINDO STANA;RURAL
23;Córdoba;3781;CORDOBA;23686;San Pelayo;14574;223686000043;INSTITUCION EDUCATIVA AMAURY GARC¿A BURGOS;74386;223686000043;AMAURY GARCIA BURGOS;CORREG DE LAS GUAMAS;RURAL
23;Córdoba;3781;CORDOBA;23182;Chinu;25752;123182000242;IE LAS MERCEDES;76004;123182000242;IE LAS MARCEDES;BARRIO CHINULITO.;URBANA
