,id,department,timecreated,rol,userid
275381,17910,,1712672030,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275395,17910,,1712678294,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275426,17910,,1712691627,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275538,16136,DEPARTAMENTO DE IDIOMAS EXTRANJEROS D P,1712789655,editingteacher,e94a5a3661d960379bdaae4c00c7ef5b3d1786258e54640b054f0e9907ea062a
275560,17910,,1712835406,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275616,17910,,1712872545,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275665,17910,,1712938284,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275671,17910,,1712944692,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275673,17910,,1712946472,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275675,17910,,1712948150,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275681,17910,,1712949768,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275683,17910,,1712951394,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275805,17910,,1713179424,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275854,17910,,1713195798,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275873,11779,Departamento De Ciencias Sociales,1713203985,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
275971,17910,,1713266790,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276002,17910,,1713280848,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276155,16136,DEPARTAMENTO DE IDIOMAS EXTRANJEROS D P,1713385442,editingteacher,e94a5a3661d960379bdaae4c00c7ef5b3d1786258e54640b054f0e9907ea062a
276213,17910,,1713438103,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276214,17910,,1713438278,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276217,17910,,1713440731,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276263,17910,,1713477704,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276528,11779,Departamento De Ciencias Sociales,1713797081,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
276624,11779,Departamento De Ciencias Sociales,1713881851,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
276857,17910,,1714093714,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276889,17910,,1714144295,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276927,17910,,1714168060,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276962,17910,,1714229470,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276963,17910,,1714230594,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276974,17910,,1714253220,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
276975,11779,Departamento De Ciencias Sociales,1714253283,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
277073,17910,,1714406838,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277125,17910,,1714486309,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277144,17910,,1714507632,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277155,17910,,1714519003,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277228,17910,,1714651946,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277309,17910,,1714751224,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277491,17910,,1715047733,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277493,11779,Departamento De Ciencias Sociales,1715049883,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
277500,17910,,1715054162,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277508,17910,,1715085438,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277510,17910,,1715087799,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277519,17910,,1715095858,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
277552,17910,,1715113531,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278113,17910,,1715874133,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278176,17910,,1715958564,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278383,17910,,1716228376,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278408,17910,,1716243299,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278425,17910,,1716254361,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278443,17910,,1716258331,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278456,17910,,1716294659,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278640,17910,,1716465954,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278745,17910,,1716559580,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
278751,11779,Departamento De Ciencias Sociales,1716562980,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
279052,11779,Departamento De Ciencias Sociales,1716857468,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
279080,17910,,1716894411,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279093,17910,,1716900785,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279335,17910,,1717033096,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279361,17910,,1717066901,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279523,17910,,1717173462,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279557,17910,,1717189970,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279812,17910,,1717541224,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279864,17910,,1717595251,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279866,17910,,1717595358,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
279906,11779,Departamento De Ciencias Sociales,1717613631,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
279908,11779,Departamento De Ciencias Sociales,1717614461,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
279921,17910,,1717624101,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280023,17910,,1717771764,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280026,17910,,1717775654,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280027,17910,,1717776918,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280053,17910,,1717802319,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280219,17910,,1718108684,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280271,17910,,1718152718,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280296,17910,,1718203212,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
